sca2sta_dist,scadp,time
0.0,2391,218.78124
0.1,2391,218.78263
0.2,2391,218.78679
0.3,2391,218.79373
0.4,2391,218.80344
0.5,2391,218.81593
0.6,2391,218.83119
0.7,2391,218.84922
0.8,2391,218.87003
0.9,2391,218.89361
1.0,2391,218.91995
1.1,2391,218.94907
1.2,2391,218.98095
1.3,2391,219.0156
1.4,2391,219.05301
1.5,2391,219.09319
1.6,2391,219.13612
1.7,2391,219.18182
1.8,2391,219.23026
1.9,2391,219.28147
2.0,2391,219.33542
2.1,2391,219.39212
2.2,2391,219.45156
2.3,2391,219.51375
2.4,2391,219.57868
2.5,2391,219.64635
2.6,2391,219.71675
2.7,2391,219.78987
2.8,2391,219.86573
2.9,2391,219.9443
3.0,2391,220.0256
3.1,2391,220.10961
3.2,2391,220.19633
3.3,2391,220.28575
3.4,2391,220.37788
3.5,2391,220.47271
3.6,2391,220.57023
3.7,2391,220.67044
3.8,2391,220.77333
3.9,2391,220.8789
4.0,2391,220.98715
4.1,2391,221.09806
4.2,2391,221.21164
4.3,2391,221.32788
4.4,2391,221.44676
4.5,2391,221.5683
4.6,2391,221.69248
4.7,2391,221.81929
4.8,2391,221.94873
4.9,2391,222.0808
5.0,2391,222.21548
5.1,2391,222.35278
5.2,2391,222.49268
5.3,2391,222.63517
5.4,2391,222.78026
5.5,2391,222.92794
5.6,2391,223.07819
5.7,2391,223.23102
5.8,2391,223.38641
5.9,2391,223.54436
6.0,2391,223.70486
6.1,2391,223.8679
6.2,2391,224.03348
6.3,2391,224.20158
6.4,2391,224.37221
6.5,2391,224.54535
6.6,2391,224.721
6.7,2391,224.89914
6.8,2391,225.07978
6.9,2391,225.26289
7.0,2391,225.44848
7.1,2391,225.63654
7.2,2391,225.82705
7.3,2391,226.02002
7.4,2391,226.21542
7.5,2391,226.41326
7.6,2391,226.61352
7.7,2391,226.8162
7.8,2391,227.02128
7.9,2391,227.22877
8.0,2391,227.43864
8.1,2391,227.65089
8.2,2391,227.86552
8.3,2391,228.08251
8.4,2391,228.30185
8.5,2391,228.52353
8.6,2391,228.74756
8.7,2391,228.97391
8.8,2391,229.20257
8.9,2391,229.43354
9.0,2391,229.66682
9.1,2391,229.90238
9.2,2391,230.14022
9.3,2391,230.38033
9.4,2391,230.6227
9.5,2391,230.86732
9.6,2391,231.11418
9.7,2391,231.36327
9.8,2391,231.61459
9.9,2391,231.86811
10.0,2391,232.12384
10.1,2391,232.38176
10.2,2391,232.64186
10.3,2391,232.90413
10.4,2391,233.16857
10.5,2391,233.43515
10.6,2391,233.70388
10.7,2391,233.97474
10.8,2391,234.24772
10.9,2391,234.52282
11.0,2391,234.80001
11.1,2391,235.07929
11.2,2391,235.36066
11.3,2391,235.64409
11.4,2391,235.92959
11.5,2391,236.21713
11.6,2391,236.50671
11.7,2391,236.79833
11.8,2391,237.09196
11.9,2391,237.38759
12.0,2391,237.68523
12.1,2391,237.98485
12.2,2391,238.28645
12.3,2391,238.59002
12.4,2391,238.89554
12.5,2391,239.203
12.6,2391,239.5124
12.7,2391,239.82373
12.8,2391,240.13697
12.9,2391,240.45211
13.0,2391,240.76914
13.1,2391,241.08805
13.2,2391,241.40884
13.3,2391,241.73149
13.4,2391,242.05598
13.5,2391,242.38232
13.6,2391,242.71048
13.7,2391,243.04047
13.8,2391,243.37226
13.9,2391,243.70585
14.0,2391,244.04122
14.1,2391,244.37837
14.2,2391,244.71729
14.3,2391,245.05796
14.4,2391,245.40038
14.5,2391,245.74453
14.6,2391,246.0904
14.7,2391,246.43799
14.8,2391,246.78727
14.9,2391,247.13826
15.0,2391,247.49092
15.1,2391,247.84525
15.2,2391,248.20124
