sca2sta_dist,scadp,time
0.0,2389,218.09134
0.1,2389,218.09272
0.2,2389,218.09689
0.3,2389,218.10383
0.4,2389,218.11354
0.5,2389,218.12603
0.6,2389,218.1413
0.7,2389,218.15933
0.8,2389,218.18014
0.9,2389,218.20373
1.0,2389,218.23008
1.1,2389,218.2592
1.2,2389,218.29109
1.3,2389,218.32574
1.4,2389,218.36316
1.5,2389,218.40334
1.6,2389,218.44628
1.7,2389,218.49198
1.8,2389,218.54044
1.9,2389,218.59165
2.0,2389,218.64561
2.1,2389,218.70232
2.2,2389,218.76178
2.3,2389,218.82398
2.4,2389,218.88892
2.5,2389,218.95659
2.6,2389,219.02701
2.7,2389,219.10014
2.8,2389,219.17601
2.9,2389,219.2546
3.0,2389,219.33591
3.1,2389,219.41993
3.2,2389,219.50666
3.3,2389,219.59611
3.4,2389,219.68825
3.5,2389,219.78309
3.6,2389,219.88063
3.7,2389,219.98085
3.8,2389,220.08376
3.9,2389,220.18935
4.0,2389,220.29761
4.1,2389,220.40854
4.2,2389,220.52213
4.3,2389,220.63839
4.4,2389,220.75729
4.5,2389,220.87885
4.6,2389,221.00304
4.7,2389,221.12987
4.8,2389,221.25934
4.9,2389,221.39142
5.0,2389,221.52612
5.1,2389,221.66344
5.2,2389,221.80336
5.3,2389,221.94587
5.4,2389,222.09098
5.5,2389,222.23868
5.6,2389,222.38895
5.7,2389,222.5418
5.8,2389,222.69721
5.9,2389,222.85518
6.0,2389,223.01569
6.1,2389,223.17876
6.2,2389,223.34435
6.3,2389,223.51248
6.4,2389,223.68313
6.5,2389,223.85629
6.6,2389,224.03196
6.7,2389,224.21012
6.8,2389,224.39078
6.9,2389,224.57391
7.0,2389,224.75952
7.1,2389,224.9476
7.2,2389,225.13814
7.3,2389,225.33112
7.4,2389,225.52654
7.5,2389,225.7244
7.6,2389,225.92468
7.7,2389,226.12738
7.8,2389,226.33248
7.9,2389,226.53999
8.0,2389,226.74988
8.1,2389,226.96215
8.2,2389,227.1768
8.3,2389,227.3938
8.4,2389,227.61316
8.5,2389,227.83487
8.6,2389,228.05891
8.7,2389,228.28527
8.8,2389,228.51395
8.9,2389,228.74494
9.0,2389,228.97823
9.1,2389,229.21381
9.2,2389,229.45166
9.3,2389,229.69179
9.4,2389,229.93417
9.5,2389,230.17881
9.6,2389,230.42568
9.7,2389,230.67479
9.8,2389,230.92612
9.9,2389,231.17965
10.0,2389,231.43539
10.1,2389,231.69332
10.2,2389,231.95343
10.3,2389,232.21572
10.4,2389,232.48016
10.5,2389,232.74676
10.6,2389,233.01549
10.7,2389,233.28636
10.8,2389,233.55935
10.9,2389,233.83445
11.0,2389,234.11165
11.1,2389,234.39093
11.2,2389,234.6723
11.3,2389,234.95574
11.4,2389,235.24124
11.5,2389,235.52879
11.6,2389,235.81837
11.7,2389,236.10998
11.8,2389,236.40361
11.9,2389,236.69925
12.0,2389,236.99688
12.1,2389,237.2965
12.2,2389,237.5981
12.3,2389,237.90166
12.4,2389,238.20717
12.5,2389,238.51463
12.6,2389,238.82403
12.7,2389,239.13534
12.8,2389,239.44857
12.9,2389,239.7637
13.0,2389,240.08072
13.1,2389,240.39963
13.2,2389,240.7204
13.3,2389,241.04303
13.4,2389,241.36751
13.5,2389,241.69383
13.6,2389,242.02198
13.7,2389,242.35194
13.8,2389,242.68372
13.9,2389,243.01728
14.0,2389,243.35264
14.1,2389,243.68976
14.2,2389,244.02866
14.3,2389,244.3693
14.4,2389,244.71169
14.5,2389,245.05581
14.6,2389,245.40166
14.7,2389,245.74921
14.8,2389,246.09847
14.9,2389,246.44942
15.0,2389,246.80205
15.1,2389,247.15634
15.2,2389,247.5123
15.3,2389,247.8699
15.4,2389,248.22915
15.5,2389,248.59002
15.6,2389,248.9525
15.7,2389,249.3166
15.8,2389,249.68229
15.9,2389,250.04957
16.0,2389,250.41842
16.1,2389,250.78884
16.2,2389,251.16081
16.3,2389,251.53433
16.4,2389,251.90938
16.5,2389,252.28596
16.6,2389,252.66405
16.7,2389,253.04364
16.8,2389,253.42473
16.9,2389,253.8073
17.0,2389,254.19135
17.1,2389,254.57686
17.2,2389,254.96381
17.3,2389,255.35222
17.4,2389,255.74206
17.5,2389,256.13332
17.6,2389,256.52599
17.7,2389,256.92007
17.8,2389,257.31554
17.9,2389,257.71239
18.0,2389,258.11062
18.1,2389,258.51021
18.2,2389,258.91116
18.3,2389,259.31344
18.4,2389,259.71707
18.5,2389,260.12201
18.6,2389,260.52828
18.7,2389,260.93584
18.8,2389,261.34471
18.9,2389,261.75486
19.0,2389,262.16628
19.1,2389,262.57897
19.2,2389,262.99292
19.3,2389,263.40812
19.4,2389,263.82456
19.5,2389,264.24222
19.6,2389,264.66111
19.7,2389,265.0812
19.8,2389,265.5025
19.9,2389,265.92499
20.0,2389,266.34866
20.1,2389,266.77351
20.2,2389,267.19952
20.3,2389,267.62668
20.4,2389,268.05499
20.5,2389,268.48444
20.6,2389,268.91502
20.7,2389,269.34671
20.8,2389,269.77952
20.9,2389,270.21343
21.0,2389,270.64843
21.1,2389,271.08451
21.2,2389,271.52167
21.3,2389,271.9599
21.4,2389,272.39918
21.5,2389,272.83951
21.6,2389,273.28088
21.7,2389,273.72328
21.8,2389,274.16671
21.9,2389,274.61115
22.0,2389,275.0566
22.1,2389,275.50305
22.2,2389,275.95048
22.3,2389,276.39889
22.4,2389,276.84828
22.5,2389,277.29863
22.6,2389,277.74994
22.7,2389,278.2022
22.8,2389,278.65539
22.9,2389,279.10952
23.0,2389,279.56457
23.1,2389,280.02054
23.2,2389,280.47741
23.3,2389,280.93518
23.4,2389,281.39385
23.5,2389,281.85339
23.6,2389,282.31382
23.7,2389,282.77511
23.8,2389,283.23726
23.9,2389,283.70026
24.0,2389,284.16411
24.1,2389,284.6288
24.2,2389,285.09432
24.3,2389,285.56065
24.4,2389,286.0278
24.5,2389,286.49576
24.6,2389,286.96452
24.7,2389,287.43407
24.8,2389,287.9044
24.9,2389,288.37551
25.0,2389,288.84739
25.1,2389,289.32003
25.2,2389,289.79343
25.3,2389,290.26757
25.4,2389,290.74246
25.5,2389,291.21808
25.6,2389,291.69443
25.7,2389,292.1715
25.8,2389,292.64928
25.9,2389,293.12776
26.0,2389,293.60694
26.1,2389,294.08682
26.2,2389,294.56738
26.3,2389,295.04861
26.4,2389,295.53052
26.5,2389,296.0131
26.6,2389,296.49633
26.7,2389,296.98021
26.8,2389,297.46474
26.9,2389,297.9499
27.0,2389,298.43569
27.1,2389,298.92211
27.2,2389,299.40916
27.3,2389,299.89681
27.4,2389,300.38506
27.5,2389,300.87391
27.6,2389,301.36336
27.7,2389,301.85339
27.8,2389,302.344
27.9,2389,302.83519
28.0,2389,303.32695
28.1,2389,303.81926
28.2,2389,304.31214
28.3,2389,304.80556
28.4,2389,305.29952
28.5,2389,305.79401
28.6,2389,306.28904
28.7,2389,306.78459
28.8,2389,307.28067
28.9,2389,307.77726
29.0,2389,308.27435
29.1,2389,308.77195
29.2,2389,309.27004
29.3,2389,309.76862
29.4,2389,310.26768
29.5,2389,310.76723
29.6,2389,311.26725
29.7,2389,311.76773
29.8,2389,312.26867
29.9,2389,312.77008
30.0,2389,313.27193
0.0,2439,221.85218
0.1,2439,221.85352
0.2,2439,221.85753
0.3,2439,221.86421
0.4,2439,221.87356
0.5,2439,221.88559
0.6,2439,221.90028
0.7,2439,221.91765
0.8,2439,221.93768
0.9,2439,221.96039
1.0,2439,221.98576
1.1,2439,222.01379
1.2,2439,222.0445
1.3,2439,222.07786
1.4,2439,222.11389
1.5,2439,222.15258
1.6,2439,222.19392
1.7,2439,222.23793
1.8,2439,222.28458
1.9,2439,222.33389
2.0,2439,222.38585
2.1,2439,222.44046
2.2,2439,222.49771
2.3,2439,222.55761
2.4,2439,222.62014
2.5,2439,222.68531
2.6,2439,222.75312
2.7,2439,222.82355
2.8,2439,222.89661
2.9,2439,222.9723
3.0,2439,223.0506
3.1,2439,223.13153
3.2,2439,223.21506
3.3,2439,223.30121
3.4,2439,223.38996
3.5,2439,223.48131
3.6,2439,223.57526
3.7,2439,223.6718
3.8,2439,223.77093
3.9,2439,223.87264
4.0,2439,223.97693
4.1,2439,224.0838
4.2,2439,224.19323
4.3,2439,224.30524
4.4,2439,224.4198
4.5,2439,224.53691
4.6,2439,224.65658
4.7,2439,224.77878
4.8,2439,224.90353
4.9,2439,225.03081
5.0,2439,225.16062
5.1,2439,225.29294
5.2,2439,225.42779
5.3,2439,225.56514
5.4,2439,225.705
5.5,2439,225.84735
5.6,2439,225.9922
5.7,2439,226.13953
5.8,2439,226.28933
5.9,2439,226.44161
6.0,2439,226.59636
6.1,2439,226.75356
6.2,2439,226.91322
6.3,2439,227.07532
6.4,2439,227.23986
6.5,2439,227.40683
6.6,2439,227.57623
6.7,2439,227.74804
6.8,2439,227.92226
6.9,2439,228.09888
7.0,2439,228.2779
7.1,2439,228.4593
7.2,2439,228.64309
7.3,2439,228.82924
7.4,2439,229.01776
7.5,2439,229.20864
7.6,2439,229.40186
7.7,2439,229.59743
7.8,2439,229.79533
7.9,2439,229.99555
8.0,2439,230.19809
8.1,2439,230.40294
8.2,2439,230.61009
8.3,2439,230.81952
8.4,2439,231.03125
8.5,2439,231.24524
8.6,2439,231.46151
8.7,2439,231.68002
8.8,2439,231.90079
8.9,2439,232.1238
9.0,2439,232.34905
9.1,2439,232.57651
9.2,2439,232.80619
9.3,2439,233.03807
9.4,2439,233.27215
9.5,2439,233.50842
9.6,2439,233.74686
9.7,2439,233.98747
9.8,2439,234.23025
9.9,2439,234.47517
10.0,2439,234.72224
10.1,2439,234.97144
10.2,2439,235.22276
10.3,2439,235.47619
10.4,2439,235.73173
10.5,2439,235.98937
10.6,2439,236.24909
10.7,2439,236.51088
10.8,2439,236.77474
10.9,2439,237.04066
11.0,2439,237.30863
11.1,2439,237.57864
11.2,2439,237.85067
11.3,2439,238.12472
11.4,2439,238.40078
11.5,2439,238.67884
11.6,2439,238.95889
11.7,2439,239.24092
11.8,2439,239.52492
11.9,2439,239.81088
12.0,2439,240.0988
12.1,2439,240.38865
12.2,2439,240.68043
12.3,2439,240.97413
12.4,2439,241.26975
12.5,2439,241.56727
12.6,2439,241.86668
12.7,2439,242.16796
12.8,2439,242.47113
12.9,2439,242.77615
13.0,2439,243.08302
13.1,2439,243.39174
13.2,2439,243.70229
13.3,2439,244.01466
13.4,2439,244.32884
13.5,2439,244.64483
13.6,2439,244.96261
13.7,2439,245.28216
13.8,2439,245.6035
13.9,2439,245.92659
14.0,2439,246.25143
14.1,2439,246.57802
14.2,2439,246.90634
14.3,2439,247.23638
14.4,2439,247.56814
14.5,2439,247.9016
14.6,2439,248.23675
14.7,2439,248.57358
14.8,2439,248.91208
14.9,2439,249.25225
15.0,2439,249.59407
15.1,2439,249.93753
15.2,2439,250.28263
15.3,2439,250.62935
15.4,2439,250.97768
15.5,2439,251.32761
15.6,2439,251.67914
15.7,2439,252.03225
15.8,2439,252.38693
15.9,2439,252.74318
16.0,2439,253.10099
16.1,2439,253.46033
16.2,2439,253.82121
16.3,2439,254.18362
16.4,2439,254.54754
16.5,2439,254.91296
16.6,2439,255.27988
16.7,2439,255.64829
16.8,2439,256.01817
16.9,2439,256.38952
17.0,2439,256.76233
17.1,2439,257.13658
17.2,2439,257.51227
17.3,2439,257.88939
17.4,2439,258.26792
17.5,2439,258.64787
17.6,2439,259.02921
17.7,2439,259.41194
17.8,2439,259.79606
17.9,2439,260.18154
18.0,2439,260.56838
18.1,2439,260.95658
18.2,2439,261.34612
18.3,2439,261.737
18.4,2439,262.1292
18.5,2439,262.52271
18.6,2439,262.91753
18.7,2439,263.31364
18.8,2439,263.71104
18.9,2439,264.10972
19.0,2439,264.50967
19.1,2439,264.91088
19.2,2439,265.31333
19.3,2439,265.71703
19.4,2439,266.12197
19.5,2439,266.52812
19.6,2439,266.93549
19.7,2439,267.34406
19.8,2439,267.75383
19.9,2439,268.16479
20.0,2439,268.57693
20.1,2439,268.99024
20.2,2439,269.40471
20.3,2439,269.82033
20.4,2439,270.2371
20.5,2439,270.65499
20.6,2439,271.07402
20.7,2439,271.49417
20.8,2439,271.91542
20.9,2439,272.33777
21.0,2439,272.76122
21.1,2439,273.18575
21.2,2439,273.61135
21.3,2439,274.03802
21.4,2439,274.46575
21.5,2439,274.89453
21.6,2439,275.32435
21.7,2439,275.7552
21.8,2439,276.18708
21.9,2439,276.61998
22.0,2439,277.05388
22.1,2439,277.48879
22.2,2439,277.92468
22.3,2439,278.36156
22.4,2439,278.79942
22.5,2439,279.23825
22.6,2439,279.67803
22.7,2439,280.11877
22.8,2439,280.56045
22.9,2439,281.00307
23.0,2439,281.44662
23.1,2439,281.89108
23.2,2439,282.33646
23.3,2439,282.78275
23.4,2439,283.22993
23.5,2439,283.67801
23.6,2439,284.12696
23.7,2439,284.57679
23.8,2439,285.02749
23.9,2439,285.47905
24.0,2439,285.93145
24.1,2439,286.38471
24.2,2439,286.8388
24.3,2439,287.29372
24.4,2439,287.74946
24.5,2439,288.20602
24.6,2439,288.66338
24.7,2439,289.12155
24.8,2439,289.58051
24.9,2439,290.04025
25.0,2439,290.50078
25.1,2439,290.96207
25.2,2439,291.42414
25.3,2439,291.88696
25.4,2439,292.35053
25.5,2439,292.81484
25.6,2439,293.2799
25.7,2439,293.74568
25.8,2439,294.21218
25.9,2439,294.67941
26.0,2439,295.14734
26.1,2439,295.61597
26.2,2439,296.0853
26.3,2439,296.55532
26.4,2439,297.02602
26.5,2439,297.4974
26.6,2439,297.96944
26.7,2439,298.44216
26.8,2439,298.91553
26.9,2439,299.38955
27.0,2439,299.8642
27.1,2439,300.33951
27.2,2439,300.81544
27.3,2439,301.29199
27.4,2439,301.76916
27.5,2439,302.24695
27.6,2439,302.72533
27.7,2439,303.20432
27.8,2439,303.68391
27.9,2439,304.16408
28.0,2439,304.64483
28.1,2439,305.12616
