sca2sta_dist,scadp,time
115.0,2391.0,
115.0,2441.0,
115.0,2491.0,
115.0,2541.0,
115.0,2591.0,
115.0,2641.0,
115.0,2691.0,
115.0,2741.0,
115.0,2791.0,
115.0,2841.0,
115.0,2891.0,
115.2,2391.0,
115.2,2441.0,
115.2,2491.0,
115.2,2541.0,
115.2,2591.0,
115.2,2641.0,
115.2,2691.0,
115.2,2741.0,
115.2,2791.0,
115.2,2841.0,
115.2,2891.0,
115.4,2391.0,
115.4,2441.0,
115.4,2491.0,
115.4,2541.0,
115.4,2591.0,
115.4,2641.0,
115.4,2691.0,
115.4,2741.0,
115.4,2791.0,
115.4,2841.0,
115.4,2891.0,
115.6,2391.0,
115.6,2441.0,
115.6,2491.0,
115.6,2541.0,
115.6,2591.0,
115.6,2641.0,
115.6,2691.0,
115.6,2741.0,
115.6,2791.0,
115.6,2841.0,
115.6,2891.0,
115.8,2391.0,
115.8,2441.0,
115.8,2491.0,
115.8,2541.0,
115.8,2591.0,
115.8,2641.0,
115.8,2691.0,
115.8,2741.0,
115.8,2791.0,
115.8,2841.0,
115.8,2891.0,
116.0,2391.0,
116.0,2441.0,
116.0,2491.0,
116.0,2541.0,
116.0,2591.0,
116.0,2641.0,
116.0,2691.0,
116.0,2741.0,
116.0,2791.0,
116.0,2841.0,
116.0,2891.0,
116.2,2391.0,
116.2,2441.0,
116.2,2491.0,
116.2,2541.0,
116.2,2591.0,
116.2,2641.0,
116.2,2691.0,
116.2,2741.0,
116.2,2791.0,
116.2,2841.0,
116.2,2891.0,
116.4,2391.0,
116.4,2441.0,
116.4,2491.0,
116.4,2541.0,
116.4,2591.0,
116.4,2641.0,
116.4,2691.0,
116.4,2741.0,
116.4,2791.0,
116.4,2841.0,
116.4,2891.0,
116.6,2391.0,
116.6,2441.0,
116.6,2491.0,
116.6,2541.0,
116.6,2591.0,
116.6,2641.0,
116.6,2691.0,
116.6,2741.0,
116.6,2791.0,
116.6,2841.0,
116.6,2891.0,
116.8,2391.0,
116.8,2441.0,
116.8,2491.0,
116.8,2541.0,
116.8,2591.0,
116.8,2641.0,
116.8,2691.0,
116.8,2741.0,
116.8,2791.0,
116.8,2841.0,
116.8,2891.0,
117.0,2391.0,
117.0,2441.0,
117.0,2491.0,
117.0,2541.0,
117.0,2591.0,
117.0,2641.0,
117.0,2691.0,
117.0,2741.0,
117.0,2791.0,
117.0,2841.0,
117.0,2891.0,
117.2,2391.0,
117.2,2441.0,
117.2,2491.0,
117.2,2541.0,
117.2,2591.0,
117.2,2641.0,
117.2,2691.0,
117.2,2741.0,
117.2,2791.0,
117.2,2841.0,
117.2,2891.0,
117.4,2391.0,
117.4,2441.0,
117.4,2491.0,
117.4,2541.0,
117.4,2591.0,
117.4,2641.0,
117.4,2691.0,
117.4,2741.0,
117.4,2791.0,
117.4,2841.0,
117.4,2891.0,
117.6,2391.0,
117.6,2441.0,
117.6,2491.0,
117.6,2541.0,
117.6,2591.0,
117.6,2641.0,
117.6,2691.0,
117.6,2741.0,
117.6,2791.0,
117.6,2841.0,
117.6,2891.0,
117.8,2391.0,
117.8,2441.0,
